ILMN_1655864,ILMN_1657898,ILMN_1671005,ILMN_1677756,ILMN_1687526,ILMN_1701962,ILMN_1704335,ILMN_1713764,ILMN_1725707,ILMN_1758687,ILMN_1763364,ILMN_1765725,ILMN_1775304,ILMN_1780334,ILMN_1794233,ILMN_1804988,ILMN_1812970,ILMN_1875248,ILMN_2082762,ILMN_2159384,Results
8.3862,8.1742,10.0892,8.9322,8.3964,8.0626,8.2251,8.5261,9.8016,8.4645,9.2728,9.2287,10.0102,9.1023,8.1898,9.7669,7.6186,7.8956,9.5758,8.5157,Scleroderma with Pulmonary Arterial Hypertension
8.5938,8.1237,10.3484,9.4002,8.741,8.4887,8.2138,8.5407,10.0135,8.5753,9.5934,9.6697,10.522,9.0015,8.491,10.2023,7.9871,8.0461,10.4751,8.9083,Scleroderma with Pulmonary Arterial Hypertension
8.3402,8.0762,9.4069,9.4412,8.5469,8.5241,8.0221,8.1239,9.3866,8.7371,9.0628,8.9817,9.0456,7.9626,8.9221,9.0518,7.8596,8.2305,9.8487,8.4237,Scleroderma with Pulmonary Arterial Hypertension
8.6082,8.6109,10.9713,9.5065,8.6996,8.572,8.3079,8.4326,10.4031,8.74,9.5488,9.357,10.4256,8.4515,8.5116,10.3579,8.0076,7.8924,10.7217,8.6708,Scleroderma with Pulmonary Arterial Hypertension
9.0322,8.1256,11.394,9.8079,9.1092,8.8153,8.7857,8.7044,10.3499,8.8795,9.9279,9.9916,11.0037,9.4746,8.7857,11.1864,8.0535,7.9894,10.533,9.2268,Scleroderma with Pulmonary Arterial Hypertension
9.2203,8.2509,11.3772,9.7481,9.1845,8.789,8.6891,8.468,10.6874,8.7673,9.8428,9.6764,10.7951,8.5436,8.258,11.1903,8.433,8.6349,10.7699,9.2566,Scleroderma with Pulmonary Arterial Hypertension
9.1894,8.6117,11.7041,10.1687,9.2785,9.0231,8.574,8.1377,10.9978,9.0211,10.1691,10.1827,11.4837,8.0454,8.9138,11.4095,8.6741,8.4486,11.362,9.5537,Scleroderma with Pulmonary Arterial Hypertension
8.2156,8.1213,9.8487,8.4996,8.5863,8.4322,8.231,8.647,9.5845,8.2888,8.7751,9.0923,10.3063,9.6779,8.0133,10.0556,7.8648,8.1091,9.4628,8.824,Scleroderma with Pulmonary Arterial Hypertension
8.8249,8.477,10.6557,8.8682,9.5101,8.8125,8.5634,8.2263,10.1123,9.2279,9.6306,10.2201,11.2741,8.8631,8.5639,11.1107,8.3379,8.2977,10.7185,9.4683,Scleroderma with Pulmonary Arterial Hypertension
8.5809,8.2292,10.5043,8.4563,8.8196,8.512,8.3516,8.0899,9.4801,8.9653,8.9625,9.3463,9.9065,8.6749,8.5569,9.6117,8.1597,8.1475,9.9395,8.6801,Scleroderma with Pulmonary Arterial Hypertension
9.5251,8.6199,11.3889,9.5384,9.3337,8.7992,8.5409,7.9541,10.2197,9.2767,9.8976,10.1274,11.8171,8.5523,8.9647,10.9123,8.4458,8.6309,11.2856,9.3669,Scleroderma with Pulmonary Arterial Hypertension
8.2434,8.1831,10.8816,9.0956,8.794,8.298,8.3376,8.9067,10.2219,8.5701,9.3021,9.0961,10.2312,9.9456,8.3366,10.3518,8.0815,7.9377,10.0536,8.7778,Scleroderma with Pulmonary Arterial Hypertension
8.2197,8.231,11.0951,8.8256,8.6616,8.5325,8.1834,8.7985,10.6979,8.4854,9.0594,9.1797,10.438,9.0893,8.1238,10.3376,8.1084,8.0185,9.9239,8.844,Scleroderma with Pulmonary Arterial Hypertension
8.905,8.2004,11.3036,9.189,8.9801,8.5632,8.5318,8.6238,10.7186,8.7097,9.2499,9.8133,11.298,8.5924,8.4073,11.1791,8.3094,7.8971,10.4609,9.0874,Scleroderma with Pulmonary Arterial Hypertension
8.5914,8.076,11.319,9.0875,9.0266,8.5911,8.2358,8.4393,10.5801,8.6913,9.07,9.5793,11.1205,9.352,8.6741,10.9199,8.1394,8.398,10.5804,9.0717,Scleroderma with Pulmonary Arterial Hypertension
8.797,8.2507,11.013,9.1758,8.3906,8.4887,8.399,8.7635,10.4006,8.6578,9.6179,9.6956,10.8006,9.2552,8.3441,10.7265,7.9786,7.9819,9.9322,9.2269,Scleroderma with Pulmonary Arterial Hypertension
8.2624,8.1484,10.2269,8.9909,8.5587,8.1172,7.8509,8.6627,9.9522,8.5541,9.3113,9.075,10.2159,9.264,8.2323,10.0429,7.9833,8.1137,9.9367,8.7461,Scleroderma with Pulmonary Arterial Hypertension
8.6088,8.3258,10.113,8.5919,8.7901,8.4791,7.9946,8.5332,10.5525,8.3026,9.1923,9.3037,10.8306,9.5249,8.7033,10.8124,8.0958,8.1576,10.1043,8.8477,Scleroderma with Pulmonary Arterial Hypertension
8.4275,7.9508,9.5426,8.4192,8.4824,8.2215,8.0248,8.1691,9.5267,8.5587,8.5391,8.8766,9.6982,8.7923,8.3245,9.5673,7.8174,8.2645,9.576,8.2214,Scleroderma with Pulmonary Arterial Hypertension
8.693,8.6448,10.6365,9.0581,8.7784,8.3718,8.2621,8.5395,9.8584,8.4952,9.421,9.2317,10.5139,8.3362,8.3576,10.7515,8.2742,8.2099,10.1479,8.8322,Scleroderma with Pulmonary Arterial Hypertension
8.724,8.1222,10.5209,9.2015,8.8631,8.4313,8.0048,8.2832,10.2376,8.6092,9.6534,8.9149,10.4109,8.4324,8.5321,10.6606,8.2109,7.9908,10.4108,8.5714,Scleroderma with Pulmonary Arterial Hypertension
8.6409,8.2658,10.6918,9.3658,8.8681,8.8194,7.9953,8.5457,10.5703,8.6386,9.5291,9.3437,10.4118,9.1966,8.3753,10.5042,7.845,8.2014,9.8445,8.7082,Scleroderma with Pulmonary Arterial Hypertension
8.5019,8.1678,10.7208,8.9608,8.6317,8.4712,8.1317,8.4005,10.1121,8.3943,9.4663,9.2323,10.1172,9.5583,8.1796,10.5097,7.8921,8.1822,10.172,8.8333,Scleroderma with Pulmonary Arterial Hypertension
8.2363,8.0663,9.4511,8.3699,8.361,7.9721,7.9015,8.1479,9.4728,8.4723,8.6024,8.9311,9.4608,8.4143,8.2157,9.3405,7.7628,8.0131,9.7251,8.4942,Scleroderma with Pulmonary Arterial Hypertension
8.2694,8.1423,9.7903,8.2871,8.8388,8.3444,8.1283,8.2298,10.0339,8.7304,8.646,9.3395,10.2351,8.699,8.3841,9.799,7.9786,8.2729,10.0339,8.5883,Scleroderma with Pulmonary Arterial Hypertension
7.9651,7.8492,8.5563,8.1207,8.05,8.1379,7.9421,8.1143,8.4785,8.515,8.4938,8.3387,8.4966,8.0416,8.4036,8.2324,7.8989,8.0975,8.6922,7.8524,Scleroderma with Pulmonary Arterial Hypertension
8.382,8.5511,10.3809,8.9382,8.6956,8.7584,8.2449,8.6101,10.2284,8.375,9.1067,9.41,10.5724,9.3043,8.3451,10.5401,8.0761,8.0505,10.2587,9.2362,Scleroderma with Pulmonary Arterial Hypertension
8.6764,8.4548,10.7208,9.1835,8.7483,8.6443,8.1002,8.2046,10.2556,8.535,8.7458,9.3599,10.6365,8.6205,8.3173,10.3726,8.1505,8.392,10.2076,8.699,Scleroderma with Pulmonary Arterial Hypertension
8.3818,8.1029,9.8199,9.0464,8.3865,8.3373,8.101,8.0902,9.261,8.6841,8.8817,8.9387,9.686,8.027,8.5146,9.4606,8.1291,8.1481,10.1655,8.4864,Scleroderma only
8.4254,7.9559,10.4024,8.948,8.5641,8.4192,8.2302,8.1576,9.7544,8.8446,9.0096,9.2378,10.223,8.0253,8.5545,10.0035,8.1761,8.1403,10.1424,8.6301,Scleroderma only
8.2663,7.9203,9.8268,8.8145,8.4176,8.312,8.0755,8.2615,9.2602,8.6954,8.9917,8.8465,9.6334,8.2351,8.3518,9.5715,8.0396,8.1287,9.7885,8.3288,Scleroderma only
